EIN,name
263393063,MICHIGAN CENTER FOR ELECTION LAW AND ADMINISTRATION
263519860,KRONK GYM FOUNDATION
263523147,DETROIT YOUNG PROFESSIONALS
263597479,EALY EDUCATION FUND
263623849,ANDREW J AND MARY JANE HUMPHRIES EDUCATION FOUNDATION
263632021,GENESIS HARBOR OF OPPORTUNITIES PROMOTING EXCELLENT
263635112,ALRASOOL CENTER INC
263670564,QUEEN MOTHER HOUSE OF PRAYER INC
263688422,HOLINESS CHURCH OF JESUS CHRIST IN THE APOSTLES DOCTRINE
263727809,GEORGIA STREET COMMUNITY COLLECTIVE INC
263732504,DIVINE RESOURCES OF HOPE
263747415,MOTOR CITY ALL-STARS YOUTH IMPACT INC
263873853,FAMILIES IN NEED OF DIRECTION
263875476,NEGC CONNER CAMPUS INC
263926083,N RACHMALE FOUNDATION
263930880,ALLEGRA C FORD-THOMAS FOUNDATION
264008431,INVEST DETROIT CDE
264108381,SISTERS MAKING IT HAPPEN FOUNDATION
264160584,LOVE HUGS AND BREAD COMMUNITY OUTREACH
264191250,PROGRESSION INC
264199016,BISHOP ROBERT THOMAS JR SCHOLARSHIP INC
264238723,MINI MIRACLES ACADEMY
264375694,MAN NETWORK
264452551,ARCADIA PARK COMMUNITY DEVELOPMENT CORPORATION
264514751,ASIAN AND PACIFIC ISLANDER AMERICAN VOTE - MICHIGAN
264563297,ROBERT R FRANK STUDENT RUN FREE CLINIC
264570016,1 ON 1 EDUCATION INC
264573126,RISING ADVOCATES FOR YOUNG CHILDREN
264591819,SAM MAC MANOR INCORPORATED
264651204,DELO NEIGHBORHOOD COMMUNITY SERVICES
264697807,AGHRAB COMMUNITY SERVICES
264720264,INNER CITY YOUTH GROUP
264834599,OLIVET HAVENS COMMUNITY DEVELOPMENT CORPORATION
266003516,JOHN SCULLY FOUNDATION
266141408,TERRY D AND BARBARA JO GROWCOCK FOUNDATION
266395630,MORTON FELDMAN FOUNDATION
266438653,HYMAN M SCHWARTZ CHARITABLE FOUNDATION
266582447,CALLANT FAMILY FOUNDATION
270052565,CARING COMMUNITY CENTER & HOUSING DEVELOPMENT INC
270052783,FIRST RESURRECTION EVANGELICAL MINISTRIES
270060515,STRATEGIC BUILDERS INCORPORATED
270062853,ARK NON VIOLENCE PROGRAM
270088281,STARR COMMONWEALTH DETROIT EMPLOYEES ASSOCIATION
270094924,WHOSOEVER MINISTRY
270097769,EICOSANOID RESEARCH FOUNDATION
270098401,FIRST COVENANT FOUNDATION
270099459,CALVARY CHRIST MISSIONARY BAPTIST CHURCH
270116613,B O Y S OUTREACH CENTERS
270139193,REDEMPTION CENTER
270270701,EL-SABBAGH FOUNDATION
270330610,CREATING HIGHER EDUCATIONAL FUNDING
270359325,ASHLEY ANGELS
270393847,MAGGIE LEES COMMUNITY CENTER
270407753,LOST AND FOUND ASSOCIATION
270438403,METRO DETROIT HOUSING SERVICE
270449080,QUELLE FAITH CENTER INC
270525774,EDGE OPPORTUNITIES
270526985,SASHA CENTER INC
270563715,RESET INCORPORATED
270598984,ROOSTERTAIL FOUNDATION
270607089,ESPERANZA DETROIT
270609504,S A Y DETROIT
270645241,UNITED CHRISTIANS IN CHRIST ASSEMBLY
270689408,PERVIS JACKSON JR AUTISM FOUNDATION
270714179,LOAVES AND FISHES SOUTHWEST DETROIT
270763653,ST PAUL APOSTOLIC FAITH TEMPLE IN CHRIST JESUS
270792904,DIRECTOR OF THE DAY YOUTH DEVELOPMENT
270802961,TYRONE NON PROFIT
270835817,BUFFALO CHARLES TERRACE ASSOCAITON
270858135,LOVE N KINDNESS COMMUNITY DEVELOPMENT CORPORATION
270906889,CCC BECAUSE WE CARE FOUNDATION
271023226,SHERWOOD FOREST ASSOCIATION
271027052,LAMBDA THETA ALPHA
271137061,DETROIT CARES CIRCLE OF THE NATIONAL CARES MENTORING MOVEMENT
271142408,REAL LIFE MY MUSIC
271170409,JAMAL MOORE COMMUNITY SERVICE
271184258,NATIONAL YOUTH SPORTS PROGRAM FOUNDATION INC
271323626,COMMUNITY INVESTMENT SUPPORT FUND
271328833,WORKING OUT WITH LAZET FOUNDATION
271337435,KUNSTHALLE DETROIT
271352761,STEPPING INTO SUCCESS
271387647,GOODWILLS GREEN WORKS INC
271435687,POWER HOUSE PRODUCTIONS
271568255,COTILLION SOCIETY OF DETROIT EDUCATIONAL FOUNDATION
271578269,NEIGHBORS BUILDING BRIGHTMOOR
271616163,A TIME TO HELP
271619074,DO FOUNDATION
271623493,NYISO MEDICAL DENTAL AND LIFE BENEFITS PLAN TRUST
271683825,AL-AQABAH ISLAMIC COMMUNITY CENTER
271707572,OUR YOUTH LIFELINE CAREER DEVELOPMENT INC
271728068,TAWHEED CENTER OF DETROIT SCHOOL
271765290,LITERACY CENTER
271819732,CHARITY HOME CARE SERVICES INC
271841875,CODY ROUGE COMMUNITY ACTION ALLIANCE INC
271855040,YOUTH VISION SOLUTIONS
271868498,EAST MICHIGAN CHRISTIAN COMMUNITY DEVELOPMENT ASSOCIATION
271927369,INVEST DETROIT FOUNDATION
271962186,PARADISE TEMPLE CHURCH OF GOD IN CHRIST
271981443,SHIPLEY FAMILY FOUNDATION
272008568,ARCHDIOCESE OF DETROIT ENDOWMENT FOUNDATION INC
272008691,ARCHDIOCESE OF DETROIT PRIESTS PENSION PLAN
272059007,NEW PARADIGM FOR EDUCATION INC
272106167,REDEEM PROGRAMS
272127524,PERFECTING GRACE MINISTRIES
272192562,BEVERLY THOMAS FINE ARTS INSTITUTE
272258321,MCCASKILL CENTER
272308036,OPERATION GRADUATION
272370966,SECOND MILE CENTER OF DETROIT
272391713,IVY LEAGUE ORGANIZATION
272405100,NEW BREED TRACK AND FIELD CLUB
272406398,ASH TRIPLE THREAT BASKETBALL ORGANIZATION
272567793,DYMOND DESIGNS BEAUTY INSTITUTE
272583722,HAMP FAMILY FUND
272620275,RACQUET UP DETROIT
272677218,LYNN & PAUL ALANDT FOUNDATION
272810691,MACK AVENUE COMMUNITY CHURCH COMMUNITY DEVELOPMENT CORPORATION
272819270,HEROES ALLIANCE
272820769,CHURCH WHERE THE ALTAR BELONGS TO GOD IN CHRIST
272852802,ORDER OF EASTERN STAR GREATER QUEEN ESTHER CHAPTER
272867392,TECH START DETROIT INC
272869938,DETROIT PREGNANCY TEST AND HELP CENTER - COMPASSIONATE HOPE MINIST
272945708,HIRE A FRESHMAN
272957270,CHRIST THE KING SERVICE CORPS
272990007,AOA EDUCATIONAL FOUNDATION INC
273051022,RECOVERYPARK
273072942,WORK OF ART
273087045,DAD DELPHINE ALFRED DUNCAN FOUNDATION FOR THE DEAF AND HARD
273164734,IMAGINATION STATION OF ROOSEVELT PARK
273215381,OB WILSON COMMUNITY ACTION FUND
273346714,IMPACT NETWORK INC
273430788,SAINTS UNITED IN CHRIST
273435663,EDUCATING U4 LIFE CDC
273466701,BRIGHTER DAY EMPOWERMENT ZONE
273467703,THE GREEN DOOR INITIATIVE
273506833,ST STEPHEN OUTREACH
273527890,DOSS WAHLS FOUNDATION
273529154,DMC FOUNDATION
273595116,LIFE GO S ON TRANSITIONAL ORGANIZATION
273640626,GOLIGHTLY ACADEMY OF INFORMATION TECHNOLOGY ADVISORY BOARD
273654740,INSTITUTE FOR PATIENT MEDICATION SAFETY AND PHARMACIST PEER REVIEW
273661254,KEEPING IT REAL FOUNDATION
273691017,PALPABLE INC
273730771,EDEN GARDENS BLOCK CLUB
273847696,SHEER ABILITY HOUSING
273971570,WELLNESS PLAN MEDICAL CENTERS FOUNDATION
273973475,UNIQUE SUPPORT SPECIALISTS COMMUNITY OUTREACH INC
273976780,GROSSE POINTE HOUSING FOUNDATION
274027178,GREAT LAKES STEM CELL INNOVATION CENTER
274097509,CHASS GROWTH FUND
274141000,WOMEN EMPOWERED CROSS N PATHS
274155700,ASHTON FUND
274227822,BOGGS EDUCATIONAL CENTER PROJECT TEAM
274268036,NEW MICHIGAN MEDIA
274268780,SAVE OUR SYMPHONY INC
274299034,NEW JOY OUTREACH COMMUNITY CENTER
274304259,GREEN LIVING SCIENCE
274348087,INSPIRING OUR SONS
274503306,SENIOR ACCOUNTS ANALYST AND APPRAISERS ASSOCIATION
274520359,RIVERSIDE COMMUNITY PRESBYTERIAN CHURCH
274528966,PEOPLE FOR PALMER PARK
274566521,GROSSE POINTE OLD DEVILS HOCKEY CLUB INC
274605607,YOU ARE NOT ALONE
274616034,EXCELLENT SCHOOLS DETROIT
274642996,PEOPLES DEVELOPMENT PROGRAM INC
274718918,LIVING ROOM DROP IN CENTER
274826925,UNIVERSITY DISTRICT DEVELOPMENT CORPORATION
275034344,MTM RETIREE HEALTH CARE PLAN & TRUST
275140671,J DREW SHEARD MINISTRY
275454096,WEBSTERS PLACE CORP
275486420,BANK ON DETROIT
276410285,OSHLAG STUCKEY FOUNDATION
276434333,ANNA & KARL KOEPKE FOUNDATION
276499174,PULTE HOMES INC VEBA TR
276922061,SHARYLAND UTILITIES RETIREE HEALTH BENEFIT TR
300002873,DETROIT 300 CONSERVANCY
300022707,IDLEWILD FOUNDATION
300023726,VISION OF VICTORY CHURCH
300035922,MICHIGAN NEUROLOGICAL ASSOCIATION
300036447,HARMONY VILLAGE SENIOR NONPROFIT HOUSING CORPORATION
300036989,NEW BREED INTERNATIONAL CHRISTIAN CENTER
300038647,ROSEDALE RECYCLES LTD
300052725,ZION HOPE MISSIONARY BAPTIST CHURCH
300056848,DETROIT PUBLIC SAFETY FOUNDATION
300058720,GOSPEL OF CHRIST MINISTRY CHURCH
300066684,VITAL LIFE SKILLS MINISTRY
300079259,CITY OF REFUGE CHRISTIAN CHURCH OF DETROIT
300080646,COMMUNITY LIVING ENTWINED AROUND THE NEIGHBORHOODS
300101343,WOMENS LEADERSHIP FORUM
300106869,NEW LIFE IN CHRIST MINISTRIES
300115902,BIBLEWAY COMMUNITY OUTREACH CENTER
300121319,DORCAS RAPHA HEALING MINISTRIES
300125283,DETROIT RIVERFRONT CONSERVANCY INC
300129998,GREATER QUINN COMMUNITY DEVELOPMENT CORPORATION INC
300132740,WILLIAMS TEMPLE WORLD WIDE MINISTRIES
300135450,DETROIT PUBLIC SCHOOLS FOUNDATION
300141220,LUTHERAN NONPROFIT HOUSING CORPORATION-LANSING
300141869,KEEP IT MOVING INCORPORATED
300144289,REALITY CHECK DETROIT
300161544,BETHEL HOUSING COUNSELING AGENCY
300162381,COCHRANS SCHOLARSHIP FUND
300171179,WARRIORS FOR THE MESSIAH
300177184,HURON HOUSING GROUP
300187652,YMCA FOUNDATION
300190264,NSO PROPERTIES
300192431,MATTIE H WARE COMMUNITY FUND INC
300215755,UNITED AFRICIAN WOMEN ORG
300219392,LOYOLA WORK EXPERIENCE PROGRAM INC
300227773,CHRISTIAN UNION MISSIONARY BAPTIST CHURCH
300238445,LAMB OF GOD OUTREACH SERVANTS GLOBAL MINISTRIES
300238808,E & E CARE SOLUTIONS
300239157,DETROIT HELPING OUR YOUTH DEVELOPMENT
300246972,FOUNTAIN OF LIFE OUTREACH MINISTRIES
300248021,CO-ETTE CLUB
300259222,SPIRITUAL ASPECTS MINISTRIES INC
300263961,LIVING IN CHRIST MINISTRIES
300269647,DESTINY FAITH MINISTRIES
300280577,PATHWAY COMMUNITY CENTER
300282025,INTERPRETERS OF EXCELLENCE MINISTRIES
300288423,NEW BEGINNING MINISTRY
300314196,BRIAN M HERMELIN FAMILY FOUNDATION
300321231,SECOND CHANCE MINISTRIES
300388998,WOODWARD AVENUE RESTORATION DISTRICT
300401408,EMMANUEL PCL CHURCH OF GOD IN CHRIST
300403408,GREATER CHRIST TABERNACLE
300410863,WEST OUTER DRIVE NEIGHBORHOOD SERVICES FOUNDATION INC
300423725,THE HEART OF JESUS INTERNATIONAL DELIVERANCE CHURCH
300428184,LITERACY FORE THE FUTURE
300437335,PROGRESS TRANSITIONAL NONPROFIT HOUSING CORPORATION
300462933,SENIORS PLAY
300528517,BRIDGE THE GAP INC
300540311,DIVINE REST MINISTRIES INTERNATIONAL
300540383,METROPOLITAN DETROIT VETERANS COALITION
300562619,SUCCESSFUL STARTS INC
300564595,MIDWEST MINISTERS ALLIANCE LLC
300569368,UNITY MISSION CHURCH
300600126,STOREHOUSE OF HOPE
300603463,THE MCKINNEY FOUNDATION INC
300640684,INTERNATIONAL UNION UNITED AUTO AEROSPACE & AGRICULTURAL WORKERS
300693403,II CHANCE INC
300733936,FOUR CORNERS
300764552,SAFE HAVEN A HOME AWAY FROM HOME
300783442,M-2 RAIL
300792601,LIFE MINISTRY
300808934,MIND AND BODY CENTER COMMUNITY DEVELOPMENT CORPORATION
306084978,JAMES M EWELL CHARITABLE FOUNDATION
310036036,GREENING OF DETROIT
310892078,ETA PHI BETA SORORITY INC
311428704,INSIDEOUT LITERARY ARTS PROJECT
311605979,DELONG-SWEET FAMILY FOUNDATION
311652204,VERA AND IMRE HECHT FOUNDATION INC
316608261,THE VERNA E MCKIBBEN MEMORIAL FOUNDATION
316646001,OLIVE A@STOKES SCHOLARSHIP TRUST
316648798,MARGARET W MIDGETT C R U
320020336,CITY OF LANSING VEBA TRUST
320022874,MOHAMMADIA MADRASHA NON PROFIT ORGANIZATION INC
320030432,EASTERN MARKET CORPORATIOIN
320030650,DETROIT YOUTH CONCERT CHOIR AND PERFORMING ARTS COMPANY
320048493,MORE THAN CONQUERORS CHRISTIAN CHURCH
320052906,NEW DOEHLER-JARVIS RETIREE BENEFITS TR
320060937,PENTECOSTAL UNITY OUTREACH C O G I C
320064213,CORLETTA J VAUGHN FOUNDATION INC
320071780,CHARLES H ELLIS III MINISTRIES
320076991,WE THE PEOPLE COMMUNITY DEVELOPMENT CORP
320080984,TOASTMASTERS INTERNATIONAL
320083704,CITADEL OF FAITH COVENANT CHURCH
320087353,CHILDRENS HOSPITAL OF MICHIGAN FOUNDATION
320098090,CHURCH OF ESTHER WORSHIP
320107758,WHITTIER CHRISTIAN CENTER INTERNATIONAL
320111800,REMNANT WORSHIPERS
320118740,CHRISTIAN GOSPEL CENTER COMMUNITY DEVELOPMENT CORPORATION
320127191,WAYNE COUNTY REGIONAL JOBS AND ECONOMIC GROWTH FOUNDATION
320131893,GODS DISCIPLES CHRISTIAN MINISTRIES
320139830,GREATER DETROIT EDUCATION ALLIANCE
320140480,GREENFIELD AVENUE CHURCH OF GOD
320169844,ACON SERVICES INC
320171869,METROPOLITAN DETROIT CENTER FOR INDEPENDENT LIVING
320184331,RIVERS OF LIVING WATER CHURCH OF GOD CHRIST
320200373,CENTER FOR COMMUNITY JUSTICE AND ADVOCACY
320215691,WEST BOSTON BLVD BLOCK CLUB ASSOCIATION
320307053,CARIBBEAN CHILDRENS AID
320308124,AVENGERS YOUTH MENTORING ORGANIZATION
320330887,FACULTY TRANSITIONAL HOUSING INC
320333058,RIVERTOWN DETROIT ASSOCIATION
320340177,CHRIST THE HELP RESCUE MISSION
320345600,CTN INTERNATIONAL MINISTRIES
320353520,COCOS HOUSE
320381785,TREE OF LIFE CENTER
320402619,SUNRISE MISSIONARY BAPTIST CHURCH
326042143,WILLMAS CHARITABLE TRUST
330603319,TOTAL HEALTH CHOICE INC
331054423,DETROIT PARENT NETWORK
331057522,MUSLIM COMMUNITY OF DETROIT
331067831,PFRS ST ANDREWS CORP
331076510,WOMEN IN TOUCH
331088533,TRINITY INSTITUTE FOR CHILDRENS DENTAL HEALTH
331089732,EBAN
331099014,MOTIVITY
331115332,MUMFORD HIGH SCHOOL ALUMNI ASSOCIATION
331140762,DETROIT BLACK COMMUNITY FOOD SECURITY NETWORK INC
331141820,DETROIT CHILDRENS CHOIR INC
331147420,LOVE 2 LIVE
331175005,FULLY PERSUADED CHURCH OF THE APOSTOLIC FAITH INTERNATIONAL
331177744,REACHING EAGER ARTISTIC LADIES CORPORATION
331199158,LAMBERT SANCTUARIES
333819407,FIFTH AVE MISSIONARY BAPTIST CHURCH
341283184,UKRAINIAN AUTHOCEFALIC ORTHODOX OF ST ANDREW
341388254,HARVEY FIRESTONE JR FOUNDATION 6842028300
341454268,CZECHOSLOVAK BAPTIST CONVENTION OF NORTH AMERICA
341905199,WILLIAM COURTNEY FAMILY FOUNDATION
341999962,TABERNACLE OF FAITH CHURCH
342026451,TRUE ORACLES OF GOD MINISTRIES
351791295,CHURCH OF THE LIVING GOD
352020030,AMVETS
352027141,HOLY GHOST TEMPLE APOSTOLIC FAITH
352169233,INTERNATIONAL UNION UNITED AUTO AEROSPACE & AGRICULTURAL WORKERS O
352184579,JOHN H BREMS FOUNDATION
352194630,ROBBIES ADULT FOSTER CARE INC
352203867,WISDOM INSTITUTE
352214909,ABUNDANTLY BLESSED MINISTRIES
352241038,MIRACLE TRUTH OUTREACH MINISTRIES
352253061,FRATERNAL ORDER OF POLICE
352273617,PFRS SAN DIEGO CORP
352275020,BRITISH-AMERICAN BUSINESS COUNCIL OF MICHIGAN INC
352284458,SHEKINAH GLORIOUS KINGDOMS MINISTRIES
352292645,ECCLESIA COMMUNITY ECONOMIC DEVELOPMENT CORPORATION
352333598,REAL MEN RECOVER
352343619,NEW BIRTH CHURCH OF GOD IN CHRIST
352354235,IN HIS HANDS MINISTRIES INTERNATIONAL
352358182,GESU COMMUNITY ADOLESCENT LIFE COACHING CTR IN CONJ WITH U-D MERC
352369948,CITY COVENANT CHURCH
352438823,JOI COMMUNITY SERVICES
352443585,TMSIMMONS FENCING & SPORTS INSTITUTE INC
352445761,INSTITUTE FOR POPULATION HEALTH INC
352447754,EPIPHANY-ASR
362138521,PAT GREATHOUSE EDUCATIONAL CENTER
362468829,AMERICAN SOCIETY OF ENGINEERS FROM INDIA
363201327,ALPHA KAPPA ALPHA SORORITY INC THETA TAU
363201513,ALPHA KAPPA ALPHA SORORITY INC
363201547,ALPHA KAPPA ALPHA SORORITY INC
363201758,ALPHA KAPPA ALPHA SORORITY INC
363513685,SOUTHEAST MICHIGAN SYNOD OF THE EVA LUTHERAN CHURCH IN AMERICA
363853122,PAN AFRICAN CHRISTIAN EXCHANGE
363873676,LIFE DIRECTIONS USA
364063285,WALTER H & ELLA STEVENSON FDTN
364314466,DESTINY REVEALED INTERNATIONAL INC
364493141,EDALENE AND ED BROWN FAMILY FOUNDATION LTD
364496824,INSTITUTE FOR CONTEMPLATION AND DIALOGUE
364514459,CROSS OFFERED PRAISE MINISTRIES
364518723,BEULAH COMMUNITY SERVICES INC
364520742,LOYOLA HIGH SCHOOL FOUNDATION
364524884,GIDEON GIFT FOUNDATION
364554788,P CADWELL ENTERPRISES
364589396,LIFE IN THE WORD CHRISTIAN MINISTRIES
364598309,VILLAGES COMMUNITY DEVELOPMENT CORPORATION
364619857,H O P E LEADERSHIP SERVICES INC
364628181,GODS LITTLE SOLDIERS INTL MINISTRIES
364640689,AMERICAN FEDERATION OF TEACHERS
364645823,TRUE FAITH MINISTRIES
364646957,CLIMBING JACOBS LADDER INTERNATIONAL MINISTRIES
364664771,UNIVERSAL TEMPLE OF PEACE AND LOVE
364684964,DOWNRIVER INTERDENOMINATIONAL MINISTERS ALLIANCE INC
364707765,LIFE WAY AGAPE CENTER
364721190,DETROIT-WAYNE COUNTY PORT FOUNDATION
364724978,PENNIES FOR PROGRESS
364728208,PROVIDENCE EMPOWERMENT PROJECT
371422562,PEARLS OF PROMISE FOUNDATION INC
371426061,SUNNY FIELDS
371427760,UNITED AFRICAN COMMUNITY ORGANIZATION
371429372,15TH STREET BLOCK CLUB ASSOCIATION
371429514,NEAREAST SIDERS
371458220,BENNETT MINISTRIES INC
371468608,WE CARE SENIOR MEALS PROGRAM
371471228,CULTURAL DEVELOPMENT COMPLEX INC
371472188,DETROIT RESIDENT EMPOWERMENT & ASSET MANAGEMENT SERVICES INC
371474082,TRANSITION 1 2 3 INC
371476114,MICHIGAN INTERFAITH VOICE
371490937,HEALTH UNIT ON DAVISON AVE
371496131,PATHWAY PERFORMING ARTS OUTREACH MIISTRIES
371500455,WORLD EDUCATIONAL RELIEF
371504333,ASAP COMMUNITY SERVICES
371514178,JUDITH T JACKSON SCHOLARSHIP FUND
371518812,HARD-COURT HITTERS
371532168,PFRS 3151 BEHREND DRIVE CORP
371535777,DETROIT MICHIGAN CHAPTER OF NOMA
371542989,HALLELUJAH TABERNACLE MINISTRIES
371560417,WEST GRAND BOULEVARD COLLABORATIVE
371574945,GREAT LAKES LEGAL INC
371575621,SPIRIT OF EXCELLENCE MINISTRIES
371595246,FAITH DELIVERANCE MINISTRIES
371632306,PRIDE AREA COMMUNITY COUNCIL
371644713,GREATER EMMANUEL CHURCH OF GOD IN CHRIST
371698467,ROOT OF THE MATTER
371737575,TIREMAN CARE HOME MINISTRIES
376390934,DE GROOTE SCHOLARSHIP AWARDS TRUST 9-342179250011
380294687,AMALGAMATED TRANSIT UNION
380322829,INTERNATIONAL BROTHERHOOD OF TEAMSTERS
380333945,BAYVIEW YACHT CLUB FOOT OF CLAIRPOINTE
380383745,INTERNATIONAL BROTHERHOOD OF TEAMSTERS
380389330,DETROIT DOWNTOWN INC
380477160,DETROIT ATHLETIC CLUB
380477465,DETROIT BAR ASSOCIATION
380477570,DETROIT REGIONAL CHAMBER
380477600,DETROIT BOAT CLUB
380478370,METROPOLITAN DETROIT CONVENTION & VISTORS BUREAU
380478760,DETROIT EXECUTIVES ASSOCIATION
380479140,DETROIT GOLF CLUB
380480170,CREDIT UNIONS CHARTERED IN THE STATE OF MICHIGAN
380480308,CREDIT UNIONS CHARTERED IN THE STATE OF MICHIGAN
380480364,KNIGHTS TEMPLAR OF THE UNITED STATES OF AMERICA
380480730,DETROIT BOARD OF REALTORS
380480910,ROTARY INTERNATIONAL
380482015,AMERICAN FEDERATION OF TEACHERS
380482390,DETROIT YACHT CLUB
380508823,DETROIT ECONOMIC CLUB
380517840,ELMWOOD CEMETERY ASSOCIATION
380677390,INDIAN VILLAGE TENNIS CLUB
380679165,INTERNATIONAL ALLIANCE THEATRICAL S STAAGE EMPLOYEES & MOVING PICTURE
380679210,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WOREKERS
380679247,INTERNATIONAL BROTHERHOOD OF TEAMSTERS
380679250,INTERNATIONAL BROTHERHOOD OF TEAMSTERS
380679778,INTERNATIONAL UNION OF ELEVATOR CONSTRUCTORS
380679801,INTERNATIONAL UNION UNITED AUTO AEROSPACE & AGRICULTURAL WORKERS
380680683,GAELIC LEAGUE OF DETROIT
380697980,INTERNATIONAL BROTHERHOOD OF TEAMSTERS
380754542,POLISH LEGION OF AMERICAN VETERANS USA
380808800,MCGREGOR FUND
380826300,MICHIGAN CATHOLIC CO
380876712,COMMUNICATION WORKERS OF AMERICA
380882424,NORTH ROSEDALE PARK CIVIC ASSOCIATION
380895174,NATIONAL ASSOCIATION OF LETTER CARRIERS
380905021,PALMER WOODS ASSOCIATION
380932452,THE PLAYERS
380952976,NORTH AMERICAN MALTESE ASSOCIATIONS INC
380975762,LABORERS INTERNATIONAL UNION OF NORTH AMERICA
381093008,DETROIT TEAMSTERS TEMPLE ASSOCIATION
381097420,INTERNATIONAL BROTHERHOOD OF TEAMSTERS
381100661,INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS
381119324,INTERNATIONAL UNION UNITED AUTO AEROSPACE & AGRICULTURAL WORKERS
381119355,INTERNATIONAL UNION UNITED AUTO AEROSPACE & AGRICULTURAL WORKERS
381121115,UNITED UNION OF ROOFERS WATERPROOFERS AND ALLIED WORKERS
381207801,DETROIT POLICE BENEFIT AND PROTECTIVE ASSOCIATION
381224923,INTERNATIONAL UNION UNITED AUTOMOBILE AEROSPACE & AGRICULTURA
381227922,DETROIT POLICE OFFICERS ASSOCIATION
381232925,KIWANIS INTERNATIONAL INC
381234192,EDISON BOAT CLUB
381238215,HISTORIC BOSTON EDISON ASSOCIATION
381257213,AMERICAN FEDERATION OF TEACHERS
381284777,MICHIGAN BARBER SCHOOL INC
381300151,INTERNATIONAL BROTHERHOOD OF TEAMSTERS
381325503,MARINE CORPS LEAGUE
381328578,MICHIGAN CONFERENCE OF TEAMSTERS WELFARE FUND
381335070,UNIVERSAL HAGAR SPIRITUALIST CHURCH
381340277,DETROIT ALUMNI CHAPTER OF KAPPA ALPHA PSI FRATERNITY
381348535,JUNIOR ACHIEVEMENT OF SOUTHEASTERN MICHIGAN
381357020,HENRY FORD HEALTH SYSTEM
381357994,LEGACY CHM
381358005,EXECUTIVE COUNCIL OF THE PROTESTANT EPISCOPAL CHURCH DIOCESE OF MI
381358015,MATRIX HUMAN SERVICES
381358052,TRAVELERS AID SOCIETY OF METROPOLITAN DETROIT
381358055,YMCA OF METROPOLITAN DETROIT
381358169,BRIGHTMOOR COMMUNITY CENTER
381358187,FAMILY SERVICE OF DETROIT AND WAYNE COUNTY
381358197,HOLY REDEEMER R C CHURCH
381358200,INTERNATIONAL INSTITUTE OF METROPOLITAN DETROIT INC
381358203,LEGAL AID AND DEFENDER ASSOCIATION INC
381358209,MOST HOLY TRINITY PARISH
381358214,SACRED HEART SEMINARY
381358224,ST LEOS CHURCH UNITED STATES CATHOLIC CONFERENCE
381358234,WESTMINSTER CHURCH OF DETROIT
381358386,LUELLA HANNAN MEMORIAL HOME
381358387,DETROIT URBAN LEAGUE
381358399,MARYGROVE COLLEGE
381359097,MARY THOMPSON FOUNDATION
381359242,CATHEDRAL OF THE MOST BLESSED SACRAMENT
381359274,ARCHDIOCESE OF DETROIT
381359504,CATHOLIC YOUTH ORGANIZATION
381359505,CHILDRENS CENTER OF WAYNE COUNTY INC
381359510,THE DETROIT INSTITUTE OF ARTS
381359568,SCARAB CLUB
381359589,ST VINCENT AND SARAH FISHER CENTER
381359592,THE SOCIETY OF ST VINCENT DE PAUL
381360553,LUTHERAN SOCIAL SERVICES OF MICHIGAN
381360561,PEACE LUTHERAN CHURCH
381360586,UNIVERSITY OF DETROIT MERCY
381360596,YOUNG WOMENS CHRISTIAN ASSOCIATION OF METROPOLITAN DETROIT
381360904,GREATER DETROIT AREA HEALTH COUNCIL INC
381360932,ST MARY OF REDFORD PARISH SCHOOL
381362823,GOODWILL INDUSTRIES OF GREATER DETROIT
381366911,CHRIST CHURCH OF THE CITY OF DETROIT
381366941,PLYMOUTH UNITED CHURCH OF CHRIST
381366956,SECOND BAPTIST CHURCH OF DETROIT
381367091,ST STEPHEN
381367320,ANNUNCIATION GREEK ORTHODOX CATHEDRAL
381368349,OUTER DRIVE FAITH LUTHERAN CHURCH
381369781,EAST BETHLEHEM LUTHERAN CHURCH
381370974,SCOTCH PRESBYTERIAN CHURCH AKA CENTRIAL NORTHWEST PRESBYTERIAN CH
381373389,CARBON ATHLETIC CLUB
381374221,EVANGELICAL LUTHERAN CHURCH IN AMERICA
381374228,METROPOLITAN CHRISTIAN COUNCIL DETROIT-WINDSOR
381381144,DETROIT HISTORICAL SOCIETY
381381297,HISTORIC TRINITY LUTHERAN CHURCH
381385132,DETROIT SYMPHONY ORCHESTRA HALL INC
381386364,ZION LUTHERAN CHURCH
381387108,DETROIT PUBLIC LIBRARY FRIENDS FOUNDATION INC
381387661,SYNOD OF MICHIGAN PRESBYTERIAN CHURCH IN USA
381390532,NAZARETH LUTHERAN CHURCH
381392683,BETHANY LUTHERAN CONGREGATION LUTHERAN MISSOURI SYNOD
381392685,CLINTON STREET GREATER BETHLEHEM TEMPLE OF THE APOSTOLIC FAITH INC
381396850,SHIFFMAN FOUNDATION
381398852,MOUNT CALVARY LUTHERAN CHURCH
381404582,CHRIST CHILD SOCIETY OF DETROIT
381404585,FIRST CONGREGATIONAL CHURCH OF DETROIT
381405279,WAYNE COUNTY MEDICAL SOCIETY
381410461,IGLESIA LUTERANA PAN DE VIDA
381411192,ST JOSEPH ROMAN CATHOLIC CHURCH
381416522,LEGACY SHGD
381417366,REHABILITATION INSTITUTE OF MICHIGAN FOUNDATION
